Class,ValAccuracy
1,0
10,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
11,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
12,0
13,0
14,0
15,0
151,0
152,0
153,0
154,0
155,0
156,0
158,0
159,0
16,0
160,0
161,0
162,0
163,0
165,0
166,0
2,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
212,0
214,0
215,0
216,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
263,0
264,0
265,0
266,0
3,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
351,0
353,0
354,0
355,0
356,0
357,0
359,0
360,0
361,0
362,0
363,0
366,0
401,0
402,0
403,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
466,0
5,0
51,0
52,0
53,0
54,0
55,0
57,0
58,0
59,0
6,0
60,0
61,0
62,0
64,0
65,0
66,0
7,0
8,0
9,0
157,0.0416666666666667
164,0.0416666666666667
211,0.0416666666666667
213,0.0416666666666667
261,0.0416666666666667
262,0.0416666666666667
352,0.0416666666666667
358,0.0416666666666667
364,0.0416666666666667
365,0.0416666666666667
4,0.0416666666666667
404,0.0416666666666667
56,0.0416666666666667
63,0.0416666666666667
465,0.291666666666667
